yearID,all_batting_average,all_earned_runs_per_batter,ratio
2020.0,0.245,0.115,2.125
2019.0,0.252,0.117,2.164
2021.0,0.244,0.111,2.195
2023.0,0.248,0.113,2.205
2000.0,0.27,0.12,2.245
2017.0,0.255,0.113,2.255
1999.0,0.271,0.119,2.276
2018.0,0.248,0.108,2.289
1996.0,0.27,0.117,2.302
2001.0,0.264,0.114,2.323
2022.0,0.243,0.104,2.326
2006.0,0.269,0.116,2.328
2004.0,0.266,0.114,2.33
2016.0,0.255,0.109,2.338
2003.0,0.264,0.113,2.338
1994.0,0.27,0.115,2.343
2007.0,0.268,0.114,2.343
1998.0,0.266,0.114,2.344
1995.0,0.267,0.114,2.346
2009.0,0.262,0.111,2.363
2002.0,0.261,0.11,2.371
1997.0,0.267,0.112,2.374
2008.0,0.264,0.111,2.376
1987.0,0.263,0.111,2.376
2005.0,0.264,0.111,2.39
1950.0,0.266,0.11,2.408
1894.0,0.309,0.128,2.422
2012.0,0.255,0.105,2.424
2010.0,0.257,0.106,2.433
2015.0,0.254,0.104,2.445
1993.0,0.265,0.108,2.454
1930.0,0.296,0.12,2.46
2011.0,0.255,0.103,2.478
1893.0,0.28,0.113,2.482
1961.0,0.258,0.104,2.485
1953.0,0.264,0.106,2.489
1986.0,0.258,0.103,2.493
1949.0,0.263,0.105,2.497
2013.0,0.253,0.101,2.499
1991.0,0.256,0.102,2.504
1948.0,0.263,0.105,2.505
1936.0,0.284,0.113,2.506
1955.0,0.259,0.103,2.511
1951.0,0.261,0.104,2.513
1962.0,0.258,0.102,2.518
1970.0,0.254,0.101,2.519
1956.0,0.258,0.102,2.527
1985.0,0.257,0.102,2.53
1895.0,0.296,0.117,2.535
1938.0,0.274,0.108,2.535
1959.0,0.257,0.101,2.536
1977.0,0.264,0.104,2.545
1940.0,0.267,0.105,2.546
2014.0,0.251,0.099,2.548
1939.0,0.275,0.108,2.553
1979.0,0.265,0.104,2.554
1937.0,0.277,0.108,2.56
1929.0,0.289,0.113,2.565
1990.0,0.258,0.101,2.565
1958.0,0.258,0.1,2.567
1960.0,0.255,0.099,2.568
1983.0,0.261,0.101,2.58
1934.0,0.279,0.108,2.58
1957.0,0.258,0.1,2.582
1982.0,0.261,0.101,2.588
1887.0,0.271,0.105,2.588
1988.0,0.254,0.098,2.593
1947.0,0.261,0.1,2.599
1932.0,0.277,0.106,2.601
1935.0,0.279,0.107,2.601
1954.0,0.261,0.1,2.603
1992.0,0.256,0.098,2.608
1984.0,0.26,0.099,2.614
1989.0,0.254,0.097,2.615
1952.0,0.253,0.096,2.622
1969.0,0.248,0.095,2.626
1973.0,0.257,0.098,2.633
1980.0,0.265,0.1,2.639
1941.0,0.262,0.099,2.639
1931.0,0.278,0.105,2.651
1965.0,0.246,0.092,2.658
1964.0,0.25,0.094,2.658
1966.0,0.249,0.093,2.662
1896.0,0.29,0.109,2.664
1978.0,0.258,0.096,2.673
1925.0,0.292,0.109,2.674
1975.0,0.258,0.096,2.674
1889.0,0.264,0.098,2.682
1963.0,0.246,0.091,2.694
1890.0,0.26,0.096,2.709
1981.0,0.256,0.094,2.71
1897.0,0.292,0.108,2.71
1974.0,0.257,0.095,2.715
1971.0,0.249,0.091,2.729
1933.0,0.27,0.098,2.755
1967.0,0.242,0.088,2.757
1927.0,0.284,0.103,2.758
1976.0,0.255,0.092,2.765
1922.0,0.288,0.104,2.766
1928.0,0.281,0.102,2.768
1924.0,0.287,0.103,2.781
1923.0,0.284,0.102,2.794
1942.0,0.253,0.09,2.795
1926.0,0.281,0.1,2.796
1972.0,0.244,0.087,2.812
1945.0,0.26,0.092,2.817
1921.0,0.291,0.103,2.823
1886.0,0.246,0.087,2.843
1944.0,0.26,0.091,2.851
1946.0,0.256,0.09,2.853
1899.0,0.282,0.099,2.86
1891.0,0.254,0.088,2.89
1943.0,0.253,0.087,2.905
1898.0,0.271,0.093,2.911
1900.0,0.279,0.095,2.931
1892.0,0.245,0.083,2.945
1968.0,0.237,0.08,2.952
1911.0,0.266,0.09,2.968
1901.0,0.272,0.091,2.997
1915.0,0.25,0.083,3.012
1912.0,0.269,0.089,3.015
1884.0,0.243,0.081,3.017
1920.0,0.276,0.091,3.036
1871.0,0.287,0.094,3.046
1888.0,0.239,0.078,3.068
1885.0,0.244,0.08,3.069
1883.0,0.257,0.083,3.114
1903.0,0.262,0.083,3.151
1914.0,0.254,0.081,3.151
1913.0,0.259,0.082,3.162
1902.0,0.267,0.084,3.17
1919.0,0.263,0.083,3.182
1905.0,0.248,0.077,3.203
1910.0,0.249,0.077,3.255
1916.0,0.248,0.075,3.317
1906.0,0.247,0.073,3.368
1918.0,0.254,0.075,3.396
1904.0,0.247,0.073,3.397
1917.0,0.249,0.073,3.397
1872.0,0.285,0.084,3.402
1882.0,0.248,0.073,3.403
1909.0,0.244,0.07,3.46
1907.0,0.245,0.069,3.537
1881.0,0.26,0.073,3.58
1908.0,0.239,0.066,3.607
1873.0,0.29,0.078,3.713
1877.0,0.271,0.072,3.756
1880.0,0.245,0.064,3.851
1879.0,0.255,0.065,3.919
1878.0,0.259,0.061,4.272
1876.0,0.265,0.059,4.484
1875.0,0.254,0.057,4.491
1874.0,0.273,0.052,5.211
