"PWGTP","ESR","MAR","MIG","SEX","SCH","SCHG","SCHL","AGEP","HINCP","PINCP"
70,0,5,1,2,3,5,6,8,66000,-19999
57,6,5,3,2,2,15,18,19,-60000,0
41,1,5,1,1,1,0,17,37,207700,148000
387,6,1,1,1,1,0,16,52,20000,0
16,6,1,1,2,1,0,21,80,0,0
46,1,1,1,2,1,0,21,48,193000,103000
63,1,3,1,1,1,0,22,57,85000,85000
177,3,5,1,1,1,0,12,54,45500,19200
126,6,1,1,1,1,0,21,66,7600,7600
33,1,5,1,2,1,0,16,19,63040,1300
75,6,2,1,2,1,0,21,77,115100,6100
87,1,1,3,2,1,0,21,25,103000,41000
50,1,3,1,1,1,0,22,63,114000,37000
48,1,1,1,1,1,0,21,26,127000,60000
19,1,3,1,1,1,0,18,31,41200,41200
68,1,1,1,2,1,0,10,40,97500,29500
267,6,1,1,1,1,0,21,83,44800,34000
75,6,1,1,1,1,0,22,85,112620,84200
50,0,5,1,2,2,6,6,10,130000,-19999
110,0,5,1,1,3,4,4,8,70000,-19999
79,0,5,1,2,2,9,10,12,270000,-19999
15,1,5,1,1,1,0,16,46,94100,83000
35,1,1,1,1,1,0,18,63,163000,125000
94,6,1,1,1,1,0,22,52,23000,20000
43,0,5,3,2,1,0,1,5,133400,-19999
29,0,5,3,1,1,0,1,4,53900,-19999
85,6,1,1,1,1,0,17,72,24000,12000
62,1,1,1,1,1,0,18,41,170000,100000
33,1,5,1,1,1,0,22,72,-60000,45000
76,6,5,1,1,2,15,16,19,252000,0
94,1,1,2,1,1,0,16,31,20000,20000
144,6,1,1,1,1,0,19,79,59200,45600
38,0,5,1,1,2,6,6,10,75000,-19999
70,1,1,1,1,1,0,21,31,160000,100000
53,3,5,1,2,1,0,21,51,6000,6000
77,6,1,1,2,1,0,16,63,400900,360000
212,0,5,1,2,2,7,7,11,630000,-19999
142,6,1,1,1,1,0,19,50,78200,0
39,0,5,1,1,3,1,1,4,100000,-19999
40,1,1,1,2,1,0,22,52,349000,170000
127,1,1,1,1,1,0,21,40,310000,200000
38,6,5,3,1,1,0,17,44,-60000,0
110,2,5,1,2,1,0,19,22,88000,16000
54,6,5,3,1,2,15,18,18,-60000,3500
458,6,1,1,2,1,0,16,35,35000,0
68,6,5,1,2,2,15,19,21,285670,670
84,1,1,1,2,1,0,16,36,74000,27800
91,1,5,1,1,1,0,20,45,233000,123000
152,1,5,1,1,1,0,19,20,19000,7000
61,1,1,1,1,1,0,22,40,380000,218000
58,6,3,1,2,1,0,19,66,64600,27600
76,1,1,3,1,1,0,21,37,402600,200000
139,1,1,3,1,1,0,16,29,160000,80000
275,1,1,1,1,1,0,20,53,115000,20000
106,6,2,3,2,1,0,16,94,65000,65000
331,3,5,1,1,2,13,14,16,35000,0
58,6,1,1,2,1,0,20,67,81320,10300
56,1,1,1,1,1,0,22,40,430000,210000
47,1,1,1,1,1,0,21,56,100000,100000
15,1,1,3,2,1,0,16,58,29700,2100
105,1,1,1,1,1,0,19,37,95000,52000
88,1,5,1,1,1,0,21,29,118000,118000
222,1,1,1,2,1,0,21,40,260000,135000
92,1,5,1,2,1,0,21,23,336000,85000
54,1,5,1,2,1,0,22,45,40000,40000
323,0,5,3,1,0,0,0,1,175000,-19999
49,6,1,1,2,1,0,22,26,56250,250
66,0,5,1,2,3,2,2,5,476000,-19999
235,2,1,1,2,1,0,21,36,207800,10000
356,0,5,1,2,2,9,9,12,82000,-19999
37,6,5,1,1,1,0,12,16,109000,0
31,1,5,1,2,1,0,19,51,33610,33610
91,0,5,1,2,2,8,9,12,353500,-19999
104,0,5,1,1,2,12,13,15,68600,0
167,1,1,1,2,1,0,19,67,211700,28800
276,0,5,1,1,2,3,3,6,238000,-19999
83,1,5,1,2,1,0,16,39,76500,35000
58,6,1,1,2,1,0,14,74,44000,15600
68,1,1,1,1,1,0,20,45,80000,80000
53,0,5,0,2,0,0,0,0,86200,-19999
32,6,1,1,2,1,0,19,70,71400,27000
144,6,1,1,1,1,0,15,62,14600,0
81,0,5,1,2,0,0,0,2,1020000,-19999
47,6,1,1,2,1,0,16,66,0,0
57,6,1,1,2,1,0,16,76,59000,16000
104,6,1,1,2,1,0,22,64,250000,50000
86,6,3,1,2,1,0,20,71,20700,20700
49,1,5,1,2,2,12,12,16,147500,2500
61,6,1,1,1,1,0,21,72,11020,11020
219,1,5,1,1,1,0,16,41,107200,22700
47,1,5,3,2,3,15,18,18,-60000,5500
223,6,1,1,2,1,0,14,45,107000,0
479,0,5,1,1,1,0,1,3,38100,-19999
66,6,5,1,2,1,0,21,83,77000,77000
43,1,5,3,1,2,15,16,21,67500,500
77,1,1,1,2,1,0,24,33,287000,137000
60,3,5,1,1,1,0,16,21,41600,9000
59,0,5,1,1,2,2,2,5,70000,-19999
59,1,1,3,1,1,0,21,46,166000,111000
35,1,1,3,2,1,0,22,66,254200,232000
17,1,1,1,2,1,0,16,29,77000,32000
8,1,1,3,2,1,0,22,38,312000,155000
177,1,1,1,2,1,0,22,46,688300,47300
47,0,5,2,1,0,0,0,2,53000,-19999
124,0,5,1,2,2,6,6,10,44800,-19999
48,0,5,1,1,2,7,8,11,44000,-19999
249,1,1,3,2,1,0,22,42,140000,70000
206,0,5,1,1,2,11,11,15,364000,0
59,6,1,1,1,1,0,21,76,306000,207000
36,0,5,1,2,1,0,6,9,79000,-19999
58,1,1,1,2,1,0,19,41,108000,38000
48,6,1,1,2,1,0,1,70,270100,8400
215,0,5,1,2,0,0,0,2,83000,-19999
137,6,1,1,1,1,0,19,38,194400,25000
104,1,3,1,1,1,0,21,57,70000,70000
53,6,1,1,2,1,0,16,62,181800,14400
32,6,5,1,1,1,0,18,41,181420,4120
40,6,5,1,2,1,0,22,83,135600,38000
181,1,1,1,1,1,0,16,54,30000,30000
115,1,1,1,1,1,0,16,60,142000,73000
75,1,1,3,1,1,0,1,43,98000,65000
19,1,1,1,1,1,0,16,65,94500,41100
41,6,1,1,2,1,0,19,67,67500,31200
18,1,5,1,2,3,15,16,21,-60000,530
209,1,5,1,1,1,0,19,33,170000,35000
161,1,5,1,2,1,0,21,47,272200,35000
128,0,5,1,1,3,1,1,3,220000,-19999
78,6,2,1,2,1,0,16,73,0,0
68,1,1,1,2,1,0,16,61,135400,69600
43,6,1,1,1,1,0,21,74,142000,84400
118,1,3,1,2,1,0,18,62,379000,44000
87,1,5,3,1,1,0,16,27,110000,50000
103,1,3,1,1,1,0,16,54,97500,97500
129,1,3,1,2,1,0,19,45,86800,41000
42,6,2,1,2,1,0,16,79,85650,24950
39,1,1,1,1,1,0,16,37,240300,18000
82,1,5,1,1,1,0,19,28,103200,26000
87,6,1,1,2,1,0,20,29,113600,15000
79,1,1,1,2,1,0,17,61,117200,49200
98,6,5,1,1,2,14,14,17,272300,0
78,1,1,1,1,1,0,24,56,145000,145000
27,6,5,1,2,1,0,16,40,50500,14000
34,6,1,1,2,1,0,22,80,469500,31400
126,1,1,1,2,1,0,21,46,275000,195000
151,1,1,1,1,1,0,21,44,89400,50000
32,1,5,1,2,1,0,1,58,64400,12000
55,1,1,1,1,1,0,20,67,168500,124600
77,1,1,3,1,1,0,21,61,94000,94000
99,0,5,1,1,3,1,2,3,165500,-19999
55,6,1,1,2,1,0,19,76,63500,17100
121,6,3,1,2,1,0,18,94,104650,25950
59,1,5,1,1,1,0,22,39,200800,197800
68,6,3,1,2,1,0,16,89,23800,23800
48,6,1,1,2,1,0,16,88,31400,4700
107,1,3,1,1,1,0,22,53,223000,163000
58,6,5,1,1,1,0,16,38,48700,0
66,6,2,1,2,1,0,20,73,32200,32200
77,6,1,1,1,1,0,20,70,85500,75500
100,0,5,2,1,2,10,11,14,42000,-19999
71,0,5,1,2,3,1,2,3,76700,-19999
293,1,5,3,1,1,0,20,22,110000,60000
